IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:f5:a9f:d921:bf9:1021,4,2,0.50,203.41,0.00
2606:4700:0:f5:a9f:776:8bc6:8c97,4,2,0.50,203.65,0.00
2606:4700:0:2d5e:2b36:dff8:d2f1:a5b9,4,2,0.50,204.06,0.00
2606:4700:0:f5:a9f:d9af:3b1e:826d,4,2,0.50,204.35,0.00
2606:4700:0:f5:a9f:776:8b07:84ea,4,2,0.50,205.18,0.00
2606:4700:0:5e:d790:7aed:9b65:1c04,4,2,0.50,207.13,0.00
2606:4700::ab:1e9d:ee4c:62e9,4,2,0.50,207.33,0.00
2606:4700::ab:b3e8:3cfb:af23,4,2,0.50,208.28,0.00
2606:4700:0:f5:a33:5180:b99c:89f7,4,2,0.50,209.96,0.00
2606:4700:0:5e:87d5:db12:997b:2023,4,2,0.50,210.08,0.00
2606:4700:0:2d5e:2b36:554c:7457:9b33,4,1,0.75,205.80,0.00
